time,Charge Power,Discharge Power,MeterPower,SoC
2026-02-17 00:02:37 AEDT+1100,0.0,1.919,0.014,45.0
2026-02-17 00:07:37 AEDT+1100,0.0,1.222,0.017,45.0
2026-02-17 00:12:37 AEDT+1100,0.0,1.185,0.019,45.0
2026-02-17 00:17:37 AEDT+1100,0.0,1.201,0.023,44.0
2026-02-17 00:22:37 AEDT+1100,0.0,1.404,0.007,44.0
2026-02-17 00:27:37 AEDT+1100,0.0,1.108,0.017,44.0
2026-02-17 00:32:38 AEDT+1100,0.0,1.102,0.017,44.0
2026-02-17 00:37:37 AEDT+1100,0.0,1.096,0.018,43.0
2026-02-17 00:42:37 AEDT+1100,0.0,1.102,0.019,43.0
2026-02-17 00:47:37 AEDT+1100,0.0,1.368,0.004,43.0
2026-02-17 00:52:37 AEDT+1100,0.0,1.349,0.007,43.0
2026-02-17 00:57:37 AEDT+1100,0.0,0.642,0.012,43.0
2026-02-17 01:02:37 AEDT+1100,0.0,0.655,0.009,42.0
2026-02-17 01:07:37 AEDT+1100,0.0,0.652,0.014,42.0
2026-02-17 01:12:37 AEDT+1100,0.0,1.108,-0.032,42.0
2026-02-17 01:17:37 AEDT+1100,0.0,0.369,0.01,42.0
2026-02-17 01:22:37 AEDT+1100,0.0,1.066,0.016,42.0
2026-02-17 01:27:37 AEDT+1100,0.0,1.076,0.012,42.0
2026-02-17 01:32:37 AEDT+1100,0.0,1.35,0.01,41.0
2026-02-17 01:37:37 AEDT+1100,0.0,1.367,0.006,41.0
2026-02-17 01:42:37 AEDT+1100,0.0,0.646,0.009,41.0
2026-02-17 01:47:37 AEDT+1100,0.0,0.655,0.015,41.0
2026-02-17 01:52:37 AEDT+1100,0.0,0.648,0.013,41.0
2026-02-17 01:57:37 AEDT+1100,0.0,0.367,0.009,41.0
2026-02-17 02:02:37 AEDT+1100,0.0,0.363,0.01,41.0
2026-02-17 02:07:37 AEDT+1100,0.0,1.066,0.007,40.0
2026-02-17 02:12:37 AEDT+1100,0.0,0.363,0.007,40.0
2026-02-17 02:17:37 AEDT+1100,0.0,1.064,0.009,40.0
2026-02-17 02:22:37 AEDT+1100,0.0,0.671,0.011,40.0
2026-02-17 02:27:37 AEDT+1100,0.0,1.316,0.013,40.0
2026-02-17 02:32:37 AEDT+1100,0.0,0.654,0.013,40.0
2026-02-17 02:37:37 AEDT+1100,0.0,1.311,0.016,40.0
2026-02-17 02:42:37 AEDT+1100,0.0,0.647,0.015,39.0
2026-02-17 02:47:37 AEDT+1100,0.0,0.359,0.011,39.0
2026-02-17 02:52:37 AEDT+1100,0.0,0.362,0.013,39.0
2026-02-17 02:57:37 AEDT+1100,0.0,0.366,0.011,39.0
2026-02-17 03:02:37 AEDT+1100,0.0,0.362,0.012,39.0
2026-02-17 03:07:37 AEDT+1100,0.0,0.676,0.014,39.0
2026-02-17 03:12:37 AEDT+1100,0.0,0.714,0.013,39.0
2026-02-17 03:17:37 AEDT+1100,0.0,0.653,0.007,38.0
2026-02-17 03:22:37 AEDT+1100,0.0,0.717,0.012,38.0
2026-02-17 03:27:37 AEDT+1100,0.0,0.369,0.012,38.0
2026-02-17 03:32:37 AEDT+1100,0.0,0.919,0.013,38.0
2026-02-17 03:37:37 AEDT+1100,0.0,0.201,0.011,38.0
2026-02-17 03:42:37 AEDT+1100,0.0,0.918,0.015,38.0
2026-02-17 03:47:37 AEDT+1100,0.0,0.202,0.005,38.0
2026-02-17 03:52:37 AEDT+1100,0.0,1.183,0.015,38.0
2026-02-17 03:57:37 AEDT+1100,0.0,0.499,0.012,37.0
2026-02-17 04:02:37 AEDT+1100,0.0,1.183,0.014,37.0
2026-02-17 04:07:37 AEDT+1100,0.0,0.503,0.01,37.0
2026-02-17 04:12:37 AEDT+1100,0.0,1.177,0.015,37.0
2026-02-17 04:17:37 AEDT+1100,0.0,0.204,0.008,37.0
2026-02-17 04:22:37 AEDT+1100,0.0,0.914,0.014,37.0
2026-02-17 04:27:37 AEDT+1100,0.0,0.203,0.009,37.0
2026-02-17 04:32:37 AEDT+1100,0.0,0.906,0.021,37.0
2026-02-17 04:37:37 AEDT+1100,0.0,0.5,0.014,37.0
2026-02-17 04:42:37 AEDT+1100,0.0,1.177,0.018,36.0
2026-02-17 04:47:37 AEDT+1100,0.0,0.493,0.014,36.0
2026-02-17 04:52:37 AEDT+1100,0.0,1.174,0.013,36.0
2026-02-17 04:57:37 AEDT+1100,0.0,0.516,0.016,36.0
2026-02-17 05:02:37 AEDT+1100,0.0,1.188,0.019,36.0
2026-02-17 05:07:37 AEDT+1100,0.0,0.215,0.006,36.0
2026-02-17 05:12:37 AEDT+1100,0.0,0.914,0.015,36.0
2026-02-17 05:17:37 AEDT+1100,0.0,0.322,0.013,36.0
2026-02-17 05:22:37 AEDT+1100,0.0,1.007,0.015,35.0
2026-02-17 05:27:37 AEDT+1100,0.0,0.643,0.015,35.0
2026-02-17 05:32:37 AEDT+1100,0.0,1.179,0.014,35.0
2026-02-17 05:37:37 AEDT+1100,0.0,0.513,0.012,35.0
2026-02-17 05:42:37 AEDT+1100,0.0,1.248,0.014,35.0
2026-02-17 05:47:37 AEDT+1100,0.0,0.517,0.006,35.0
2026-02-17 05:52:37 AEDT+1100,0.0,0.918,0.017,35.0
2026-02-17 05:57:37 AEDT+1100,0.0,0.216,0.006,35.0
2026-02-17 06:02:37 AEDT+1100,0.0,0.913,0.01,34.0
2026-02-17 06:07:37 AEDT+1100,0.0,2.617,0.004,34.0
2026-02-17 06:12:37 AEDT+1100,0.0,1.135,0.019,34.0
2026-02-17 06:17:37 AEDT+1100,0.0,1.641,0.014,33.0
2026-02-17 06:22:37 AEDT+1100,0.0,2.206,0.009,33.0
2026-02-17 06:27:37 AEDT+1100,0.0,0.645,0.014,33.0
2026-02-17 06:32:37 AEDT+1100,0.0,0.708,0.012,33.0
2026-02-17 06:37:38 AEDT+1100,0.0,0.665,0.014,32.0
2026-02-17 06:42:37 AEDT+1100,0.0,0.38,0.011,32.0
2026-02-17 06:47:37 AEDT+1100,0.0,1.0,0.014,32.0
2026-02-17 06:52:37 AEDT+1100,0.0,1.008,0.011,32.0
2026-02-17 06:57:37 AEDT+1100,0.0,0.953,0.02,32.0
2026-02-17 07:02:37 AEDT+1100,0.0,0.603,0.009,32.0
2026-02-17 07:07:37 AEDT+1100,0.0,0.947,0.024,32.0
2026-02-17 07:12:37 AEDT+1100,0.0,1.606,0.008,31.0
2026-02-17 07:17:37 AEDT+1100,0.0,1.553,0.006,31.0
2026-02-17 07:22:37 AEDT+1100,0.0,1.437,0.01,31.0
2026-02-17 07:27:38 AEDT+1100,0.0,0.804,0.004,31.0
2026-02-17 07:32:37 AEDT+1100,0.0,0.53,0.021,31.0
2026-02-17 07:37:37 AEDT+1100,0.0,0.383,0.023,31.0
2026-02-17 07:42:37 AEDT+1100,0.0,0.342,0.018,31.0
2026-02-17 07:47:37 AEDT+1100,0.0,0.189,0.02,31.0
2026-02-17 07:52:37 AEDT+1100,0.0,0.32,0.01,31.0
2026-02-17 07:57:37 AEDT+1100,0.0,0.095,0.003,31.0
2026-02-17 08:02:37 AEDT+1100,0.491,0.0,0.006,31.0
2026-02-17 08:07:37 AEDT+1100,0.0,1.493,0.013,31.0
2026-02-17 08:12:37 AEDT+1100,0.86,0.0,0.005,30.0
2026-02-17 08:17:37 AEDT+1100,1.984,0.0,0.013,30.0
2026-02-17 08:22:37 AEDT+1100,2.116,0.0,0.006,30.0
2026-02-17 08:27:37 AEDT+1100,2.256,0.0,0.011,31.0
2026-02-17 08:32:37 AEDT+1100,2.038,0.0,0.014,31.0
2026-02-17 08:37:37 AEDT+1100,2.174,0.0,0.011,32.0
2026-02-17 08:42:37 AEDT+1100,2.529,0.0,0.013,32.0
2026-02-17 08:47:37 AEDT+1100,2.759,0.0,0.009,33.0
2026-02-17 08:52:37 AEDT+1100,2.908,0.0,0.01,33.0
2026-02-17 08:57:37 AEDT+1100,2.97,0.0,0.015,34.0
2026-02-17 09:02:37 AEDT+1100,2.973,0.0,0.024,35.0
2026-02-17 09:07:37 AEDT+1100,3.335,0.0,0.012,35.0
2026-02-17 09:12:37 AEDT+1100,3.927,0.0,0.012,36.0
2026-02-17 09:17:37 AEDT+1100,3.832,0.0,0.009,37.0
2026-02-17 09:22:37 AEDT+1100,4.229,0.0,0.008,38.0
2026-02-17 09:27:37 AEDT+1100,4.396,0.0,0.005,38.0
2026-02-17 09:32:37 AEDT+1100,4.264,0.0,0.013,39.0
2026-02-17 09:37:37 AEDT+1100,4.508,0.0,0.009,40.0
2026-02-17 09:42:37 AEDT+1100,5.367,0.0,0.007,41.0
2026-02-17 09:47:37 AEDT+1100,5.782,0.0,0.008,42.0
2026-02-17 09:52:37 AEDT+1100,6.17,0.0,0.013,43.0
2026-02-17 09:57:37 AEDT+1100,6.282,0.0,0.012,45.0
2026-02-17 10:02:37 AEDT+1100,6.82,0.0,0.014,46.0
2026-02-17 10:07:37 AEDT+1100,7.347,0.0,0.009,48.0
2026-02-17 10:12:37 AEDT+1100,7.274,0.0,0.006,49.0
2026-02-17 10:17:38 AEDT+1100,7.619,0.0,0.01,50.0
2026-02-17 10:22:37 AEDT+1100,7.746,0.0,0.011,52.0
2026-02-17 10:27:37 AEDT+1100,7.717,0.0,0.012,53.0
2026-02-17 10:32:37 AEDT+1100,7.907,0.0,0.008,55.0
2026-02-17 10:37:37 AEDT+1100,8.118,0.0,0.008,57.0
2026-02-17 10:42:37 AEDT+1100,8.231,0.0,0.012,58.0
2026-02-17 10:47:37 AEDT+1100,8.368,0.0,0.014,60.0
2026-02-17 10:52:37 AEDT+1100,8.759,0.0,0.005,62.0
2026-02-17 10:57:37 AEDT+1100,8.851,0.0,0.012,64.0
2026-02-17 11:02:37 AEDT+1100,9.046,0.0,0.016,65.0
2026-02-17 11:07:37 AEDT+1100,9.197,0.0,0.009,67.0
2026-02-17 11:12:37 AEDT+1100,8.987,0.0,0.009,69.0
2026-02-17 11:17:37 AEDT+1100,9.095,0.0,0.018,71.0
2026-02-17 11:22:37 AEDT+1100,9.329,0.0,0.012,72.0
2026-02-17 11:27:37 AEDT+1100,9.616,0.0,0.012,74.0
2026-02-17 11:32:37 AEDT+1100,9.519,0.0,0.012,76.0
2026-02-17 11:37:37 AEDT+1100,9.891,0.0,0.007,78.0
2026-02-17 11:42:37 AEDT+1100,9.952,0.0,0.013,80.0
2026-02-17 11:47:37 AEDT+1100,10.013,0.0,0.011,82.0
2026-02-17 11:52:37 AEDT+1100,10.098,0.0,0.009,84.0
2026-02-17 11:57:37 AEDT+1100,10.206,0.0,0.01,86.0
2026-02-17 12:02:37 AEDT+1100,10.03,0.0,0.017,88.0
2026-02-17 12:07:37 AEDT+1100,9.99,0.0,0.011,90.0
2026-02-17 12:12:37 AEDT+1100,10.029,0.0,0.006,92.0
2026-02-17 12:17:37 AEDT+1100,10.093,0.0,0.009,94.0
2026-02-17 12:22:37 AEDT+1100,10.176,0.0,0.014,96.0
2026-02-17 12:27:37 AEDT+1100,10.485,0.0,0.012,96.0
2026-02-17 12:32:37 AEDT+1100,8.866,0.0,-1.517,99.0
2026-02-17 12:37:37 AEDT+1100,1.416,0.0,-8.659,99.0
2026-02-17 12:42:37 AEDT+1100,0.0,0.016,-9.654,100.0
2026-02-17 12:47:37 AEDT+1100,0.0,0.016,-8.448,100.0
2026-02-17 12:52:37 AEDT+1100,0.0,0.015,-9.388,100.0
2026-02-17 12:57:37 AEDT+1100,0.0,0.016,-9.381,100.0
2026-02-17 13:02:37 AEDT+1100,0.0,0.013,-9.38,100.0
2026-02-17 13:07:37 AEDT+1100,0.0,0.014,-9.371,100.0
2026-02-17 13:12:37 AEDT+1100,0.0,0.014,-9.44,100.0
2026-02-17 13:17:37 AEDT+1100,0.0,0.02,-9.511,100.0
2026-02-17 13:22:37 AEDT+1100,0.0,0.016,-9.383,100.0
2026-02-17 13:27:37 AEDT+1100,0.0,0.015,-9.21,100.0
2026-02-17 13:32:37 AEDT+1100,0.0,0.014,-8.882,100.0
2026-02-17 13:37:37 AEDT+1100,0.0,0.011,-9.334,100.0
2026-02-17 13:42:37 AEDT+1100,0.0,0.017,-8.942,100.0
2026-02-17 13:47:37 AEDT+1100,0.0,0.011,-9.364,100.0
2026-02-17 13:52:37 AEDT+1100,0.0,0.0,-9.357,100.0
2026-02-17 13:57:37 AEDT+1100,0.0,0.0,-9.37,100.0
2026-02-17 14:02:37 AEDT+1100,0.0,0.0,-9.63,100.0
2026-02-17 14:07:37 AEDT+1100,0.0,0.0,-9.634,100.0
2026-02-17 14:12:37 AEDT+1100,0.0,0.016,-9.63,100.0
2026-02-17 14:17:37 AEDT+1100,0.0,0.0,-9.629,100.0
2026-02-17 14:22:37 AEDT+1100,0.0,0.0,-9.36,100.0
2026-02-17 14:27:37 AEDT+1100,0.0,0.017,-9.491,100.0
2026-02-17 14:32:37 AEDT+1100,0.0,0.011,-9.443,100.0
2026-02-17 14:37:37 AEDT+1100,0.0,0.015,-9.329,100.0
2026-02-17 14:42:37 AEDT+1100,0.0,0.0,-9.22,100.0
2026-02-17 14:47:37 AEDT+1100,0.0,0.01,-8.956,100.0
2026-02-17 14:52:37 AEDT+1100,0.0,0.011,-8.808,100.0
2026-02-17 14:57:37 AEDT+1100,0.0,0.01,-8.728,100.0
2026-02-17 15:02:37 AEDT+1100,0.0,0.012,-8.548,100.0
2026-02-17 15:07:37 AEDT+1100,0.0,0.011,-8.417,100.0
2026-02-17 15:12:37 AEDT+1100,0.0,0.012,-8.077,100.0
2026-02-17 15:17:37 AEDT+1100,0.0,0.011,-7.97,100.0
2026-02-17 15:22:37 AEDT+1100,0.0,0.016,-7.868,100.0
2026-02-17 15:27:37 AEDT+1100,0.0,0.01,-7.66,100.0
2026-02-17 15:32:37 AEDT+1100,0.0,0.012,-7.878,100.0
2026-02-17 15:37:37 AEDT+1100,0.0,0.019,-7.762,100.0
2026-02-17 15:42:37 AEDT+1100,0.0,0.012,-7.568,100.0
2026-02-17 15:47:37 AEDT+1100,0.0,0.011,-7.399,100.0
2026-02-17 15:52:37 AEDT+1100,0.0,0.016,-6.932,100.0
2026-02-17 15:57:37 AEDT+1100,0.0,0.0,-6.835,100.0
2026-02-17 16:02:37 AEDT+1100,0.0,0.011,-7.307,100.0
2026-02-17 16:07:37 AEDT+1100,0.0,0.016,-7.187,100.0
2026-02-17 16:12:37 AEDT+1100,0.0,0.013,-7.065,100.0
2026-02-17 16:17:37 AEDT+1100,0.0,0.011,-6.886,100.0
2026-02-17 16:22:37 AEDT+1100,0.0,0.027,-6.961,100.0
2026-02-17 16:27:37 AEDT+1100,0.0,0.021,-6.845,100.0
2026-02-17 16:32:37 AEDT+1100,0.0,0.015,-6.679,100.0
2026-02-17 16:37:37 AEDT+1100,0.0,0.021,-6.504,100.0
2026-02-17 16:42:37 AEDT+1100,0.0,0.021,-6.047,100.0
2026-02-17 16:47:37 AEDT+1100,0.0,0.014,-5.883,100.0
2026-02-17 16:52:37 AEDT+1100,0.0,0.019,-5.673,100.0
2026-02-17 16:57:37 AEDT+1100,0.0,0.017,-5.433,100.0
2026-02-17 17:02:37 AEDT+1100,0.0,0.019,-5.258,100.0
2026-02-17 17:07:37 AEDT+1100,0.0,0.022,-5.034,100.0
2026-02-17 17:12:37 AEDT+1100,0.0,0.025,-4.913,100.0
2026-02-17 17:17:37 AEDT+1100,0.0,0.025,-4.332,100.0
2026-02-17 17:22:37 AEDT+1100,0.0,0.026,-4.133,100.0
2026-02-17 17:27:37 AEDT+1100,0.0,0.028,-4.047,100.0
2026-02-17 17:32:37 AEDT+1100,0.0,0.033,-3.368,100.0
2026-02-17 17:37:37 AEDT+1100,0.0,0.029,-3.043,100.0
2026-02-17 17:42:37 AEDT+1100,0.0,0.028,-2.858,100.0
2026-02-17 17:47:37 AEDT+1100,0.0,0.035,-2.669,100.0
2026-02-17 17:52:37 AEDT+1100,0.0,0.039,-2.467,100.0
2026-02-17 17:57:37 AEDT+1100,0.0,0.035,-2.527,100.0
2026-02-17 18:02:37 AEDT+1100,0.0,0.069,-2.215,100.0
2026-02-17 18:07:37 AEDT+1100,0.038,0.0,-1.892,100.0
2026-02-17 18:12:37 AEDT+1100,0.062,0.0,-1.747,100.0
2026-02-17 18:17:38 AEDT+1100,0.0,8.807,-9.405,100.0
2026-02-17 18:22:37 AEDT+1100,0.0,8.964,-9.401,98.0
2026-02-17 18:27:37 AEDT+1100,0.0,9.11,-9.394,96.0
2026-02-17 18:32:38 AEDT+1100,0.0,9.264,-9.402,95.0
2026-02-17 18:37:37 AEDT+1100,0.0,9.364,-9.402,93.0
2026-02-17 18:42:38 AEDT+1100,0.0,9.512,-9.665,91.0
2026-02-17 18:47:37 AEDT+1100,0.0,9.612,-9.659,89.0
2026-02-17 18:52:37 AEDT+1100,0.0,9.748,-9.66,87.0
2026-02-17 18:57:38 AEDT+1100,0.0,9.831,-9.65,85.0
2026-02-17 19:02:37 AEDT+1100,0.0,9.905,-9.384,83.0
2026-02-17 19:07:38 AEDT+1100,0.0,10.009,-9.402,81.0
2026-02-17 19:12:37 AEDT+1100,0.0,10.206,-9.387,79.0
2026-02-17 19:17:37 AEDT+1100,0.0,10.266,-9.392,77.0
2026-02-17 19:22:38 AEDT+1100,0.0,10.287,-9.402,75.0
2026-02-17 19:27:37 AEDT+1100,0.0,10.292,-9.393,73.0
2026-02-17 19:32:38 AEDT+1100,0.0,10.315,-9.662,71.0
2026-02-17 19:37:38 AEDT+1100,0.0,10.333,-9.654,69.0
2026-02-17 19:42:37 AEDT+1100,0.0,10.343,-9.656,67.0
2026-02-17 19:47:38 AEDT+1100,0.0,10.353,-9.653,65.0
2026-02-17 19:52:37 AEDT+1100,0.0,10.341,-9.353,63.0
2026-02-17 19:57:37 AEDT+1100,0.0,10.357,-9.388,61.0
2026-02-17 20:02:38 AEDT+1100,0.0,10.359,-9.372,58.0
2026-02-17 20:07:37 AEDT+1100,0.0,10.389,-9.383,56.0
2026-02-17 20:12:38 AEDT+1100,0.0,10.366,-9.382,54.0
2026-02-17 20:17:37 AEDT+1100,0.0,10.367,-9.647,52.0
2026-02-17 20:22:38 AEDT+1100,0.0,10.382,-9.543,50.0
2026-02-17 20:27:38 AEDT+1100,0.0,10.383,-9.397,48.0
2026-02-17 20:32:37 AEDT+1100,0.0,10.399,-9.394,46.0
2026-02-17 20:37:38 AEDT+1100,0.0,10.381,-8.43,43.0
2026-02-17 20:42:37 AEDT+1100,0.0,10.389,-8.4,41.0
2026-02-17 20:47:38 AEDT+1100,0.0,10.39,-8.376,39.0
2026-02-17 20:52:37 AEDT+1100,0.0,10.392,-8.36,37.0
2026-02-17 20:57:37 AEDT+1100,0.0,10.378,-8.344,35.0
2026-02-17 21:02:38 AEDT+1100,0.0,1.407,0.0,34.0
2026-02-17 21:07:37 AEDT+1100,0.0,1.404,0.011,33.0
2026-02-17 21:12:38 AEDT+1100,0.0,1.396,0.009,33.0
2026-02-17 21:17:37 AEDT+1100,0.0,1.419,0.008,33.0
2026-02-17 21:22:37 AEDT+1100,0.0,3.512,0.012,32.0
2026-02-17 21:27:38 AEDT+1100,0.0,1.693,0.001,32.0
2026-02-17 21:32:38 AEDT+1100,0.0,1.661,0.006,32.0
2026-02-17 21:37:38 AEDT+1100,0.0,3.736,0.008,31.0
2026-02-17 21:42:38 AEDT+1100,0.0,1.669,0.005,31.0
2026-02-17 21:47:37 AEDT+1100,0.0,1.675,0.008,30.0
2026-02-17 21:52:38 AEDT+1100,0.0,1.371,0.007,30.0
2026-02-17 21:57:37 AEDT+1100,0.0,1.379,0.003,30.0
2026-02-17 22:02:38 AEDT+1100,0.0,1.358,0.007,30.0
2026-02-17 22:07:37 AEDT+1100,0.0,1.149,0.015,29.0
2026-02-17 22:12:37 AEDT+1100,0.0,1.432,0.005,29.0
2026-02-17 22:17:38 AEDT+1100,0.0,1.434,0.006,29.0
2026-02-17 22:22:37 AEDT+1100,0.0,1.427,0.01,29.0
2026-02-17 22:27:38 AEDT+1100,0.0,1.438,0.011,28.0
2026-02-17 22:32:37 AEDT+1100,0.0,1.433,0.016,28.0
2026-02-17 22:37:37 AEDT+1100,0.0,1.407,0.008,28.0
2026-02-17 22:42:38 AEDT+1100,0.0,1.194,0.014,28.0
2026-02-17 22:47:37 AEDT+1100,0.0,1.097,0.011,27.0
2026-02-17 22:52:38 AEDT+1100,0.0,1.103,0.012,27.0
2026-02-17 22:57:37 AEDT+1100,0.0,1.102,0.02,27.0
2026-02-17 23:02:37 AEDT+1100,0.0,1.898,0.007,27.0
2026-02-17 23:07:38 AEDT+1100,0.0,1.935,0.009,26.0
2026-02-17 23:12:37 AEDT+1100,0.0,2.313,0.011,26.0
2026-02-17 23:17:38 AEDT+1100,0.0,2.328,0.009,26.0
2026-02-17 23:22:37 AEDT+1100,0.0,2.345,0.006,25.0
2026-02-17 23:27:37 AEDT+1100,0.0,1.569,0.003,25.0
2026-02-17 23:32:38 AEDT+1100,0.0,1.586,0.008,24.0
2026-02-17 23:37:38 AEDT+1100,0.0,1.724,0.008,24.0
2026-02-17 23:42:38 AEDT+1100,0.0,1.74,0.004,24.0
2026-02-17 23:47:37 AEDT+1100,0.0,1.795,0.008,24.0
2026-02-17 23:52:37 AEDT+1100,0.0,2.072,0.005,23.0
2026-02-17 23:57:38 AEDT+1100,0.0,1.992,0.015,23.0
