time,Charge Power,Discharge Power,MeterPower,SoC
2026-02-16 00:04:26 AEDT+1100,0.0,0.611,0.013,34.0
2026-02-16 00:09:25 AEDT+1100,0.0,0.614,0.009,34.0
2026-02-16 00:14:26 AEDT+1100,0.0,1.278,0.015,34.0
2026-02-16 00:19:26 AEDT+1100,0.0,0.337,0.009,34.0
2026-02-16 00:24:25 AEDT+1100,0.0,1.012,0.017,34.0
2026-02-16 00:29:26 AEDT+1100,0.0,0.432,0.007,33.0
2026-02-16 00:34:25 AEDT+1100,0.0,0.432,0.008,33.0
2026-02-16 00:39:26 AEDT+1100,0.0,0.706,0.013,33.0
2026-02-16 00:44:25 AEDT+1100,0.0,0.6,0.016,33.0
2026-02-16 00:49:25 AEDT+1100,0.0,1.257,0.013,33.0
2026-02-16 00:54:26 AEDT+1100,0.0,0.607,0.01,33.0
2026-02-16 00:59:25 AEDT+1100,0.0,1.264,0.017,32.0
2026-02-16 01:04:26 AEDT+1100,0.0,0.61,0.015,32.0
2026-02-16 01:09:26 AEDT+1100,0.0,1.01,0.015,32.0
2026-02-16 01:14:25 AEDT+1100,0.0,0.336,0.012,32.0
2026-02-16 01:19:26 AEDT+1100,0.0,1.015,0.013,32.0
2026-02-16 01:24:25 AEDT+1100,0.0,0.335,0.012,32.0
2026-02-16 01:29:26 AEDT+1100,0.0,1.297,0.014,32.0
2026-02-16 01:34:26 AEDT+1100,0.0,0.611,0.01,32.0
2026-02-16 01:39:25 AEDT+1100,0.0,1.267,0.015,31.0
2026-02-16 01:44:26 AEDT+1100,0.0,0.989,0.013,31.0
2026-02-16 01:49:25 AEDT+1100,0.0,1.571,0.014,31.0
2026-02-16 01:54:26 AEDT+1100,0.0,0.99,0.014,31.0
2026-02-16 01:59:26 AEDT+1100,0.0,0.171,0.005,31.0
2026-02-16 02:04:25 AEDT+1100,0.0,0.171,0.008,31.0
2026-02-16 02:09:26 AEDT+1100,0.0,0.397,0.01,31.0
2026-02-16 02:14:25 AEDT+1100,0.0,0.346,0.014,30.0
2026-02-16 02:19:26 AEDT+1100,0.0,0.629,0.012,30.0
2026-02-16 02:24:26 AEDT+1100,0.0,0.629,0.012,30.0
2026-02-16 02:29:25 AEDT+1100,0.0,0.635,0.015,30.0
2026-02-16 02:34:26 AEDT+1100,0.0,0.633,0.009,30.0
2026-02-16 02:39:25 AEDT+1100,0.0,0.624,0.008,30.0
2026-02-16 02:44:26 AEDT+1100,0.0,0.414,0.011,29.0
2026-02-16 02:49:25 AEDT+1100,0.0,0.35,0.006,29.0
2026-02-16 02:54:25 AEDT+1100,0.0,0.414,0.008,29.0
2026-02-16 02:59:26 AEDT+1100,0.0,0.348,0.01,29.0
2026-02-16 03:04:25 AEDT+1100,0.0,0.626,0.013,29.0
2026-02-16 03:09:26 AEDT+1100,0.0,0.625,0.017,29.0
2026-02-16 03:14:25 AEDT+1100,0.0,0.637,-0.002,29.0
2026-02-16 03:19:25 AEDT+1100,0.0,0.625,0.016,28.0
2026-02-16 03:24:26 AEDT+1100,0.0,0.634,0.007,28.0
2026-02-16 03:29:25 AEDT+1100,0.0,0.63,0.007,28.0
2026-02-16 03:34:26 AEDT+1100,0.0,0.346,0.008,28.0
2026-02-16 03:39:26 AEDT+1100,0.0,0.344,0.009,28.0
2026-02-16 03:44:25 AEDT+1100,0.0,0.337,0.012,28.0
2026-02-16 03:49:26 AEDT+1100,0.0,0.342,0.008,28.0
2026-02-16 03:54:25 AEDT+1100,0.0,0.624,0.01,28.0
2026-02-16 03:59:26 AEDT+1100,0.0,0.619,0.016,27.0
2026-02-16 04:04:26 AEDT+1100,0.0,0.62,0.012,27.0
2026-02-16 04:09:25 AEDT+1100,0.0,0.624,0.011,27.0
2026-02-16 04:14:26 AEDT+1100,0.0,0.614,0.02,27.0
2026-02-16 04:19:25 AEDT+1100,0.0,0.336,0.006,27.0
2026-02-16 04:24:26 AEDT+1100,0.0,0.332,0.011,27.0
2026-02-16 04:29:26 AEDT+1100,0.0,0.944,0.025,27.0
2026-02-16 04:34:25 AEDT+1100,0.0,0.338,0.007,26.0
2026-02-16 04:39:26 AEDT+1100,0.0,1.273,0.014,26.0
