time,Charge Power,Discharge Power,MeterPower,SoC
2026-02-16 04:44:25 AEDT+1100,0.0,0.615,0.013,26.0
2026-02-16 04:49:26 AEDT+1100,0.0,1.262,0.021,26.0
2026-02-16 04:54:26 AEDT+1100,0.0,0.621,0.004,26.0
2026-02-16 04:59:25 AEDT+1100,0.0,1.27,0.02,26.0
2026-02-16 05:04:26 AEDT+1100,0.0,0.335,0.009,26.0
2026-02-16 05:09:25 AEDT+1100,0.0,0.399,0.014,25.0
2026-02-16 05:14:26 AEDT+1100,0.0,0.333,0.006,25.0
2026-02-16 05:19:26 AEDT+1100,0.0,0.337,0.005,25.0
2026-02-16 05:24:25 AEDT+1100,0.0,0.61,0.013,25.0
2026-02-16 05:29:26 AEDT+1100,0.0,0.658,0.013,25.0
2026-02-16 05:34:25 AEDT+1100,0.0,0.655,0.013,25.0
2026-02-16 05:39:26 AEDT+1100,0.0,0.657,0.011,25.0
2026-02-16 05:44:26 AEDT+1100,0.0,1.305,0.013,25.0
2026-02-16 05:49:25 AEDT+1100,0.0,0.653,0.011,24.0
2026-02-16 05:54:26 AEDT+1100,0.0,1.01,0.015,24.0
2026-02-16 05:59:25 AEDT+1100,0.0,0.445,0.01,24.0
2026-02-16 06:04:26 AEDT+1100,0.0,0.511,0.011,24.0
2026-02-16 06:09:26 AEDT+1100,0.0,0.432,0.009,24.0
2026-02-16 06:14:25 AEDT+1100,0.0,0.411,0.011,24.0
2026-02-16 06:19:26 AEDT+1100,0.0,0.622,0.016,24.0
2026-02-16 06:24:25 AEDT+1100,0.0,0.675,0.014,23.0
2026-02-16 06:29:26 AEDT+1100,0.0,1.277,0.014,23.0
2026-02-16 06:34:28 AEDT+1100,0.0,0.644,0.006,23.0
2026-02-16 06:39:26 AEDT+1100,0.0,1.791,0.014,23.0
2026-02-16 06:44:26 AEDT+1100,0.0,1.265,-0.051,23.0
2026-02-16 06:49:25 AEDT+1100,0.0,1.025,0.011,22.0
2026-02-16 06:54:26 AEDT+1100,0.0,0.996,-0.037,22.0
2026-02-16 06:59:26 AEDT+1100,0.0,1.782,-0.002,21.0
2026-02-16 07:04:25 AEDT+1100,0.0,1.693,0.006,21.0
2026-02-16 07:09:26 AEDT+1100,0.0,1.133,0.006,21.0
2026-02-16 07:14:25 AEDT+1100,0.0,1.184,0.002,20.0
2026-02-16 07:19:26 AEDT+1100,0.0,1.337,0.013,20.0
2026-02-16 07:24:26 AEDT+1100,0.0,1.002,0.02,20.0
2026-02-16 07:29:25 AEDT+1100,0.0,1.123,0.018,20.0
2026-02-16 07:34:26 AEDT+1100,0.0,0.656,0.007,20.0
2026-02-16 07:39:25 AEDT+1100,0.0,0.649,0.013,20.0
2026-02-16 07:44:26 AEDT+1100,0.0,0.302,0.013,20.0
2026-02-16 07:49:26 AEDT+1100,0.0,0.221,0.009,20.0
2026-02-16 07:54:25 AEDT+1100,0.0,0.217,0.011,20.0
2026-02-16 07:59:26 AEDT+1100,0.0,0.315,0.016,20.0
2026-02-16 08:04:25 AEDT+1100,0.0,0.73,0.013,20.0
2026-02-16 08:09:26 AEDT+1100,0.0,0.373,0.015,20.0
2026-02-16 08:14:26 AEDT+1100,0.748,0.0,0.009,20.0
2026-02-16 08:19:25 AEDT+1100,0.397,0.0,0.013,20.0
2026-02-16 08:24:26 AEDT+1100,2.158,0.0,0.016,20.0
2026-02-16 08:29:25 AEDT+1100,0.198,0.0,0.012,20.0
2026-02-16 08:34:26 AEDT+1100,2.438,0.0,0.017,20.0
2026-02-16 08:39:28 AEDT+1100,2.593,0.0,0.016,21.0
2026-02-16 08:44:25 AEDT+1100,1.73,0.0,0.008,21.0
2026-02-16 08:49:26 AEDT+1100,1.83,0.0,0.008,21.0
2026-02-16 08:54:25 AEDT+1100,2.54,0.0,0.014,22.0
2026-02-16 08:59:26 AEDT+1100,2.674,0.0,0.018,23.0
2026-02-16 09:04:26 AEDT+1100,3.591,0.0,0.013,23.0
2026-02-16 09:09:25 AEDT+1100,3.515,0.0,0.018,23.0
2026-02-16 09:14:26 AEDT+1100,3.947,0.0,0.014,24.0
2026-02-16 09:19:26 AEDT+1100,4.092,0.0,0.012,25.0
2026-02-16 09:24:28 AEDT+1100,4.394,0.0,0.012,26.0
2026-02-16 09:29:26 AEDT+1100,4.828,0.0,0.012,27.0
2026-02-16 09:34:25 AEDT+1100,4.25,0.0,0.015,28.0
2026-02-16 09:39:26 AEDT+1100,5.088,0.0,0.01,29.0
2026-02-16 09:44:25 AEDT+1100,5.245,0.0,0.017,30.0
2026-02-16 09:49:26 AEDT+1100,7.187,0.0,0.015,31.0
2026-02-16 09:54:26 AEDT+1100,4.77,0.0,0.007,31.0
2026-02-16 09:59:25 AEDT+1100,1.995,0.0,0.01,32.0
2026-02-16 10:04:26 AEDT+1100,2.377,0.0,0.008,33.0
2026-02-16 10:09:25 AEDT+1100,0.215,0.0,0.009,33.0
2026-02-16 10:14:26 AEDT+1100,9.467,0.0,0.007,34.0
2026-02-16 10:19:26 AEDT+1100,0.155,0.0,0.005,35.0
2026-02-16 10:24:25 AEDT+1100,1.285,0.0,0.016,35.0
2026-02-16 10:29:26 AEDT+1100,2.933,0.0,0.013,36.0
2026-02-16 10:34:25 AEDT+1100,9.967,0.0,0.013,38.0
2026-02-16 10:39:26 AEDT+1100,1.15,0.0,0.012,38.0
2026-02-16 10:44:26 AEDT+1100,10.227,0.0,0.016,39.0
2026-02-16 10:49:25 AEDT+1100,9.698,0.0,0.007,41.0
2026-02-16 10:54:26 AEDT+1100,10.242,0.0,0.011,43.0
2026-02-16 10:57:46 AEDT+1100,9.947,0.0,0.011,44.0
2026-02-16 11:02:37 AEDT+1100,10.492,0.0,0.012,46.0
2026-02-16 11:07:37 AEDT+1100,2.501,0.0,0.008,47.0
2026-02-16 11:12:36 AEDT+1100,10.633,0.0,0.013,49.0
2026-02-16 11:17:37 AEDT+1100,2.112,0.0,0.018,50.0
2026-02-16 11:22:37 AEDT+1100,2.628,0.0,0.012,51.0
2026-02-16 11:27:37 AEDT+1100,2.518,0.0,0.018,51.0
2026-02-16 11:32:37 AEDT+1100,10.98,0.0,-0.044,53.0
2026-02-16 11:37:36 AEDT+1100,2.522,0.0,0.01,53.0
2026-02-16 11:42:37 AEDT+1100,3.55,0.0,0.007,54.0
2026-02-16 11:47:36 AEDT+1100,10.997,0.0,-0.533,55.0
2026-02-16 11:52:37 AEDT+1100,10.984,0.0,-0.382,58.0
2026-02-16 11:57:37 AEDT+1100,10.674,0.0,0.011,60.0
2026-02-16 12:02:37 AEDT+1100,10.62,0.0,0.011,62.0
2026-02-16 12:07:37 AEDT+1100,10.359,0.0,0.017,64.0
2026-02-16 12:12:37 AEDT+1100,10.566,0.0,0.011,66.0
2026-02-16 12:17:37 AEDT+1100,2.132,0.0,0.011,68.0
2026-02-16 12:22:37 AEDT+1100,2.404,0.0,0.011,69.0
2026-02-16 12:27:36 AEDT+1100,10.997,0.0,-0.264,71.0
2026-02-16 12:32:37 AEDT+1100,1.971,0.0,0.011,72.0
2026-02-16 12:37:37 AEDT+1100,11.0,0.0,-0.799,73.0
2026-02-16 12:42:37 AEDT+1100,10.99,0.0,-0.508,75.0
2026-02-16 12:47:37 AEDT+1100,1.88,0.0,0.01,76.0
2026-02-16 12:52:36 AEDT+1100,2.189,0.0,0.007,76.0
2026-02-16 12:57:37 AEDT+1100,10.995,0.0,-0.279,78.0
2026-02-16 13:02:37 AEDT+1100,1.806,0.0,0.014,80.0
2026-02-16 13:07:37 AEDT+1100,1.988,0.0,0.009,80.0
2026-02-16 13:12:37 AEDT+1100,10.986,0.0,-0.596,82.0
2026-02-16 13:17:36 AEDT+1100,8.385,0.0,0.007,84.0
2026-02-16 13:22:37 AEDT+1100,10.989,0.0,-0.622,86.0
2026-02-16 13:27:37 AEDT+1100,10.99,0.0,-0.555,87.0
2026-02-16 13:32:37 AEDT+1100,10.993,0.0,-0.629,89.0
2026-02-16 13:37:37 AEDT+1100,2.848,0.0,0.013,90.0
2026-02-16 13:42:37 AEDT+1100,10.795,0.0,-0.608,91.0
2026-02-16 13:47:37 AEDT+1100,10.82,0.0,-0.43,93.0
2026-02-16 13:52:37 AEDT+1100,3.173,0.0,0.014,95.0
2026-02-16 13:57:37 AEDT+1100,2.756,0.0,0.016,96.0
2026-02-16 14:02:37 AEDT+1100,2.699,0.0,0.003,96.0
2026-02-16 14:07:37 AEDT+1100,10.911,0.0,-0.537,97.0
2026-02-16 14:12:37 AEDT+1100,7.255,0.0,-4.05,99.0
2026-02-16 14:17:37 AEDT+1100,2.484,0.0,-8.535,99.0
2026-02-16 14:22:37 AEDT+1100,0.887,0.0,-7.226,99.0
2026-02-16 14:27:37 AEDT+1100,0.0,0.016,-9.397,100.0
2026-02-16 14:32:37 AEDT+1100,0.0,0.023,-2.082,100.0
2026-02-16 14:37:37 AEDT+1100,0.0,0.035,-2.325,100.0
2026-02-16 14:42:37 AEDT+1100,0.0,0.015,-9.395,100.0
2026-02-16 14:47:37 AEDT+1100,0.0,0.014,-9.287,100.0
2026-02-16 14:52:37 AEDT+1100,0.0,0.016,-9.649,100.0
2026-02-16 14:57:37 AEDT+1100,0.0,0.029,-3.26,100.0
2026-02-16 15:02:37 AEDT+1100,0.0,0.028,-2.471,100.0
2026-02-16 15:07:37 AEDT+1100,0.0,0.033,-3.405,100.0
2026-02-16 15:12:37 AEDT+1100,0.0,0.029,-3.293,100.0
2026-02-16 15:17:37 AEDT+1100,0.0,0.021,-9.553,100.0
2026-02-16 15:22:37 AEDT+1100,0.0,0.017,-9.537,100.0
2026-02-16 15:27:37 AEDT+1100,0.0,0.012,-9.503,100.0
2026-02-16 15:32:37 AEDT+1100,0.0,0.03,-1.971,100.0
2026-02-16 15:37:37 AEDT+1100,0.0,0.01,-9.777,100.0
2026-02-16 15:42:37 AEDT+1100,0.0,0.012,-9.4,100.0
2026-02-16 15:47:37 AEDT+1100,0.0,0.018,-9.479,100.0
2026-02-16 15:52:37 AEDT+1100,0.0,0.034,-2.191,100.0
2026-02-16 15:57:37 AEDT+1100,0.0,0.028,-3.84,100.0
2026-02-16 16:02:37 AEDT+1100,0.0,0.017,-8.844,100.0
2026-02-16 16:07:37 AEDT+1100,0.0,0.017,-8.886,100.0
2026-02-16 16:12:37 AEDT+1100,0.0,0.025,-8.066,100.0
2026-02-16 16:17:37 AEDT+1100,0.0,0.018,-8.773,100.0
2026-02-16 16:22:37 AEDT+1100,0.0,0.036,-2.169,100.0
2026-02-16 16:27:37 AEDT+1100,0.0,0.045,-1.726,100.0
2026-02-16 16:32:37 AEDT+1100,0.0,0.036,-2.197,100.0
2026-02-16 16:37:37 AEDT+1100,0.0,0.019,-8.592,100.0
2026-02-16 16:42:37 AEDT+1100,0.0,0.04,-1.931,100.0
2026-02-16 16:47:37 AEDT+1100,0.0,0.024,-0.997,100.0
2026-02-16 16:52:37 AEDT+1100,0.0,0.035,-1.967,100.0
2026-02-16 16:57:37 AEDT+1100,0.0,0.026,-6.179,100.0
2026-02-16 17:02:37 AEDT+1100,0.0,0.039,-2.091,100.0
2026-02-16 17:07:37 AEDT+1100,0.0,0.023,-4.644,100.0
2026-02-16 17:12:37 AEDT+1100,0.0,0.02,-6.898,100.0
2026-02-16 17:17:37 AEDT+1100,0.0,0.027,-6.211,100.0
2026-02-16 17:22:38 AEDT+1100,0.0,0.028,-4.312,100.0
2026-02-16 17:27:42 AEDT+1100,0.0,0.025,-4.919,100.0
2026-02-16 17:32:37 AEDT+1100,0.0,0.036,-2.437,100.0
2026-02-16 17:37:37 AEDT+1100,0.0,0.052,-1.332,100.0
2026-02-16 17:42:37 AEDT+1100,0.0,0.024,-4.494,100.0
2026-02-16 17:47:37 AEDT+1100,0.0,0.05,-0.87,100.0
2026-02-16 17:52:37 AEDT+1100,0.0,0.072,-0.377,100.0
2026-02-16 17:57:37 AEDT+1100,0.0,0.024,-0.236,100.0
2026-02-16 18:02:37 AEDT+1100,0.0,0.033,-2.032,100.0
2026-02-16 18:07:37 AEDT+1100,0.0,0.039,-0.178,100.0
2026-02-16 18:12:37 AEDT+1100,0.0,0.032,-0.717,100.0
2026-02-16 18:17:37 AEDT+1100,0.054,0.0,-2.037,100.0
2026-02-16 18:22:37 AEDT+1100,0.0,0.035,-0.205,100.0
2026-02-16 18:27:37 AEDT+1100,0.0,0.06,-0.164,100.0
2026-02-16 18:32:37 AEDT+1100,0.0,0.088,-0.537,100.0
2026-02-16 18:37:37 AEDT+1100,0.0,0.037,-0.86,100.0
2026-02-16 18:42:37 AEDT+1100,0.0,0.088,-0.967,100.0
2026-02-16 18:47:37 AEDT+1100,0.0,0.026,-0.816,100.0
2026-02-16 18:52:37 AEDT+1100,0.0,0.029,-0.178,100.0
2026-02-16 18:57:37 AEDT+1100,0.0,0.045,-0.027,100.0
2026-02-16 19:02:37 AEDT+1100,0.0,10.213,-7.226,100.0
2026-02-16 19:07:37 AEDT+1100,0.0,10.211,-7.146,98.0
2026-02-16 19:12:37 AEDT+1100,0.0,9.67,-8.074,96.0
2026-02-16 19:17:37 AEDT+1100,0.0,9.689,-8.076,94.0
2026-02-16 19:22:37 AEDT+1100,0.0,9.702,-8.068,92.0
2026-02-16 19:27:37 AEDT+1100,0.0,9.74,-8.054,90.0
2026-02-16 19:32:37 AEDT+1100,0.0,9.764,-8.057,88.0
2026-02-16 19:37:37 AEDT+1100,0.0,9.813,-6.984,86.0
2026-02-16 19:42:37 AEDT+1100,0.0,9.835,-6.98,84.0
2026-02-16 19:47:37 AEDT+1100,0.0,9.842,-7.049,82.0
2026-02-16 19:52:37 AEDT+1100,0.0,9.82,-8.367,80.0
2026-02-16 19:57:37 AEDT+1100,0.0,9.84,-8.1,78.0
2026-02-16 20:02:37 AEDT+1100,0.0,9.839,-8.669,76.0
2026-02-16 20:07:37 AEDT+1100,0.0,9.849,-8.835,74.0
2026-02-16 20:12:37 AEDT+1100,0.0,9.846,-8.569,72.0
2026-02-16 20:17:37 AEDT+1100,0.0,9.844,-8.594,70.0
2026-02-16 20:22:37 AEDT+1100,0.0,9.877,-8.628,68.0
2026-02-16 20:27:37 AEDT+1100,0.0,9.865,-8.793,66.0
2026-02-16 20:32:37 AEDT+1100,0.0,9.87,-8.795,64.0
2026-02-16 20:37:37 AEDT+1100,0.0,9.871,-8.801,62.0
