time,Charge Power,Discharge Power,MeterPower,SoC
2026-02-18 00:02:38 AEDT+1100,0.0,2.018,0.004,22.0
2026-02-18 00:07:38 AEDT+1100,0.0,2.013,0.008,22.0
2026-02-18 00:12:37 AEDT+1100,0.0,2.023,0.007,22.0
2026-02-18 00:17:37 AEDT+1100,0.0,1.761,0.009,21.0
2026-02-18 00:22:38 AEDT+1100,0.0,1.756,0.002,21.0
2026-02-18 00:27:37 AEDT+1100,0.0,1.76,0.01,21.0
2026-02-18 00:32:38 AEDT+1100,0.0,1.746,0.008,20.0
2026-02-18 00:37:37 AEDT+1100,0.0,1.751,0.011,20.0
2026-02-18 00:42:37 AEDT+1100,0.0,2.049,0.009,20.0
2026-02-18 00:47:38 AEDT+1100,0.0,2.022,0.006,19.0
2026-02-18 00:52:37 AEDT+1100,0.0,2.025,0.007,19.0
2026-02-18 00:57:38 AEDT+1100,0.0,2.035,0.007,18.0
2026-02-18 01:02:37 AEDT+1100,0.0,2.03,0.017,18.0
2026-02-18 01:07:37 AEDT+1100,0.0,2.042,0.005,18.0
2026-02-18 01:12:38 AEDT+1100,0.0,1.781,0.014,17.0
2026-02-18 01:17:37 AEDT+1100,0.0,1.119,0.018,17.0
2026-02-18 01:22:38 AEDT+1100,0.0,1.076,0.011,17.0
2026-02-18 01:27:37 AEDT+1100,0.0,1.067,0.016,16.0
2026-02-18 01:32:37 AEDT+1100,0.0,1.373,0.012,16.0
2026-02-18 01:37:38 AEDT+1100,0.0,1.337,0.006,16.0
2026-02-18 01:42:37 AEDT+1100,0.0,1.339,0.005,16.0
2026-02-18 01:47:38 AEDT+1100,0.0,1.345,0.007,15.0
2026-02-18 01:52:37 AEDT+1100,0.0,1.336,0.008,15.0
2026-02-18 01:57:37 AEDT+1100,0.0,1.346,0.013,15.0
2026-02-18 02:02:38 AEDT+1100,0.0,1.073,0.016,15.0
2026-02-18 02:07:37 AEDT+1100,0.0,1.078,0.027,15.0
2026-02-18 02:12:38 AEDT+1100,0.0,1.122,0.012,14.0
2026-02-18 02:17:38 AEDT+1100,0.0,1.073,0.016,14.0
2026-02-18 02:22:37 AEDT+1100,0.0,1.376,0.009,14.0
2026-02-18 02:27:39 AEDT+1100,0.0,1.325,0.009,14.0
2026-02-18 02:32:37 AEDT+1100,0.0,1.336,0.004,13.0
2026-02-18 02:37:38 AEDT+1100,0.0,1.326,0.009,13.0
2026-02-18 02:42:38 AEDT+1100,0.0,1.347,0.009,13.0
2026-02-18 02:47:37 AEDT+1100,0.0,1.068,0.018,13.0
2026-02-18 02:52:38 AEDT+1100,0.0,1.071,0.012,12.0
