time,Charge Power,Discharge Power,MeterPower,SoC
2026-02-13 20:43:47 AEDT+1100,0.0,0.648,0.015,30.0
2026-02-13 20:48:47 AEDT+1100,0.0,0.65,0.013,30.0
2026-02-13 20:53:47 AEDT+1100,0.0,0.9,0.016,30.0
2026-02-13 20:58:47 AEDT+1100,0.0,0.879,0.018,29.0
2026-02-13 21:03:47 AEDT+1100,0.0,0.859,0.025,29.0
2026-02-13 21:08:47 AEDT+1100,0.0,0.863,0.013,29.0
2026-02-13 21:13:47 AEDT+1100,0.0,0.868,0.014,29.0
2026-02-13 21:18:47 AEDT+1100,0.0,0.863,0.016,29.0
2026-02-13 21:23:47 AEDT+1100,0.0,0.593,0.014,29.0
2026-02-13 21:28:47 AEDT+1100,0.0,0.592,0.015,29.0
2026-02-13 21:33:47 AEDT+1100,0.0,0.591,0.013,28.0
2026-02-13 21:38:47 AEDT+1100,0.0,0.6,0.01,28.0
2026-02-13 21:43:47 AEDT+1100,0.0,0.824,0.014,28.0
2026-02-13 21:48:47 AEDT+1100,0.0,0.818,0.016,28.0
2026-02-13 21:53:47 AEDT+1100,0.0,0.806,0.015,28.0
2026-02-13 21:58:47 AEDT+1100,0.0,3.068,0.007,28.0
2026-02-13 22:03:47 AEDT+1100,0.0,0.8,0.017,27.0
2026-02-13 22:08:47 AEDT+1100,0.0,0.508,0.016,27.0
2026-02-13 22:13:47 AEDT+1100,0.0,1.149,0.017,27.0
2026-02-13 22:18:47 AEDT+1100,0.0,1.092,0.015,27.0
2026-02-13 22:23:53 AEDT+1100,0.0,1.039,0.013,26.0
2026-02-13 22:28:48 AEDT+1100,0.0,1.354,0.005,26.0
2026-02-13 22:33:47 AEDT+1100,0.0,1.314,0.005,26.0
2026-02-13 22:38:47 AEDT+1100,0.0,0.609,0.014,26.0
2026-02-13 22:43:47 AEDT+1100,0.0,1.27,0.018,25.0
2026-02-13 22:48:47 AEDT+1100,0.0,0.612,0.01,25.0
2026-02-13 22:53:47 AEDT+1100,0.0,0.613,0.011,25.0
2026-02-13 22:58:47 AEDT+1100,0.0,1.026,0.018,25.0
2026-02-13 23:03:47 AEDT+1100,0.0,0.329,0.009,25.0
2026-02-13 23:08:47 AEDT+1100,0.0,0.331,0.007,25.0
2026-02-13 23:13:47 AEDT+1100,0.0,1.024,0.014,24.0
2026-02-13 23:18:47 AEDT+1100,0.0,0.667,0.011,24.0
2026-02-13 23:23:47 AEDT+1100,0.0,1.801,0.008,24.0
2026-02-13 23:28:47 AEDT+1100,0.0,1.129,0.018,24.0
2026-02-13 23:33:47 AEDT+1100,0.0,1.155,0.015,23.0
2026-02-13 23:38:47 AEDT+1100,0.0,0.945,0.018,23.0
2026-02-13 23:43:47 AEDT+1100,0.0,0.899,0.019,23.0
2026-02-13 23:48:47 AEDT+1100,0.0,1.59,0.004,22.0
2026-02-13 23:53:47 AEDT+1100,0.0,0.919,0.016,22.0
2026-02-13 23:58:47 AEDT+1100,0.0,1.911,0.009,22.0
