time,Charge Power,Discharge Power,MeterPower,SoC
2026-02-14 20:54:25 AEDT+1100,0.0,0.795,0.018,36.0
2026-02-14 20:59:25 AEDT+1100,0.0,0.793,0.017,35.0
2026-02-14 21:04:25 AEDT+1100,0.0,0.805,0.016,35.0
2026-02-14 21:09:25 AEDT+1100,0.0,0.952,0.014,35.0
2026-02-14 21:14:25 AEDT+1100,0.0,0.961,0.02,35.0
2026-02-14 21:19:25 AEDT+1100,0.0,0.712,0.015,35.0
2026-02-14 21:24:25 AEDT+1100,0.0,0.684,0.012,35.0
2026-02-14 21:29:25 AEDT+1100,0.0,0.691,0.01,35.0
2026-02-14 21:34:25 AEDT+1100,0.0,0.684,0.012,34.0
2026-02-14 21:39:25 AEDT+1100,0.0,0.884,0.015,34.0
2026-02-14 21:44:25 AEDT+1100,0.0,0.872,0.019,34.0
2026-02-14 21:49:25 AEDT+1100,0.0,0.889,0.016,34.0
2026-02-14 21:54:25 AEDT+1100,0.0,0.851,0.018,34.0
2026-02-14 21:59:25 AEDT+1100,0.0,0.853,0.015,34.0
2026-02-14 22:04:25 AEDT+1100,0.0,0.572,0.014,33.0
2026-02-14 22:09:25 AEDT+1100,0.0,0.582,0.01,33.0
2026-02-14 22:14:25 AEDT+1100,0.0,0.432,0.012,33.0
2026-02-14 22:19:26 AEDT+1100,0.0,0.429,0.008,33.0
2026-02-14 22:24:25 AEDT+1100,0.0,1.837,0.011,33.0
2026-02-14 22:29:25 AEDT+1100,0.0,1.92,0.003,32.0
2026-02-14 22:34:25 AEDT+1100,0.0,1.229,0.012,32.0
2026-02-14 22:39:25 AEDT+1100,0.0,1.928,0.01,32.0
2026-02-14 22:44:25 AEDT+1100,0.0,1.262,0.014,31.0
2026-02-14 22:49:25 AEDT+1100,0.0,1.261,0.02,31.0
2026-02-14 22:54:25 AEDT+1100,0.0,1.71,0.016,31.0
2026-02-14 22:59:25 AEDT+1100,0.0,1.004,0.013,30.0
2026-02-14 23:04:25 AEDT+1100,0.0,1.68,0.011,30.0
2026-02-14 23:09:25 AEDT+1100,0.0,1.022,0.013,30.0
2026-02-14 23:14:25 AEDT+1100,0.0,1.933,0.009,30.0
2026-02-14 23:19:25 AEDT+1100,0.0,1.931,0.007,29.0
2026-02-14 23:24:25 AEDT+1100,0.0,1.953,0.009,29.0
2026-02-14 23:29:25 AEDT+1100,0.0,1.98,0.005,28.0
2026-02-14 23:34:25 AEDT+1100,0.0,1.981,0.004,28.0
2026-02-14 23:39:25 AEDT+1100,0.0,1.06,0.016,28.0
2026-02-14 23:44:25 AEDT+1100,0.0,0.999,0.015,27.0
2026-02-14 23:49:26 AEDT+1100,0.0,1.003,0.013,27.0
2026-02-14 23:54:25 AEDT+1100,0.0,0.335,0.005,27.0
2026-02-14 23:59:25 AEDT+1100,0.0,1.355,0.007,27.0
